presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,53757599,STEMによる局所原子振動定量観察法の開発,STEMによる局所原子振動定量観察法の開発,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","JST ERATO「柴田超原子分解能電子顕微鏡プロジェクト」第１回公開シンポジウム","JST ERATO「柴田超原子分解能電子顕微鏡プロジェクト」第１回公開シンポジウム",2024-03-07,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,true,null,null,null,false,disclosed
insert,merge,null,53757598,STEMによるクラスレート化合物中の原子ラットリング振動の直接観察,STEMによるクラスレート化合物中の原子ラットリング振動の直接観察,"[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","新学術領域研究「機能コアの材料科学」 若手の会","新学術領域研究「機能コアの材料科学」 若手の会",2023-08-01,null,null,false,jpn,poster_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757597,"分割型検出器STEM による原子ラットリング運動の直接観察","分割型検出器STEM による原子ラットリング運動の直接観察","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2023-06-26,null,null,false,jpn,oral_presentation,null,null,"くにびきメッセ, 島根県","くにびきメッセ, 島根県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2023/,null,false,closed
insert,merge,null,53757604,"STEM による原子変位パラメータの精密解析","STEM による原子変位パラメータの精密解析","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","日本顕微鏡学会 超高分解能顕微鏡法分科会 2022年度研究討論会","日本顕微鏡学会 超高分解能顕微鏡法分科会 2022年度研究討論会",2023-03-04,null,null,false,jpn,oral_presentation,null,null,"マホロバ・マインズ三浦, 神奈川県","マホロバ・マインズ三浦, 神奈川県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757603,"Development of a Method to Observe Local Atomic Vibrations by STEM Using a Segmented Detector","Development of a Method to Observe Local Atomic Vibrations by STEM Using a Segmented Detector","[Koudai Tabata, Takehito Seki, Yuichi Ikuhara, Naoya Shibata]","[Koudai Tabata, Takehito Seki, Yuichi Ikuhara, Naoya Shibata]","MRS 2022 Fall Meeting & Exhibit","MRS 2022 Fall Meeting & Exhibit",2022-11-29,null,null,false,eng,oral_presentation,null,null,"Boston, USA","Boston, USA",null,null,null,true,null,null,null,false,disclosed
insert,merge,null,53757602,"Direct observation of anisotropic local atomic vibrations by STEM using a segmented detector","Direct observation of anisotropic local atomic vibrations by STEM using a segmented detector","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","2022年度顕微鏡学会 若手シンポジウム","2022年度顕微鏡学会 若手シンポジウム",2022-10-11,null,null,false,jpn,poster_presentation,null,null,"京都大学, 京都府","京都大学, 京都府",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757601,"分割型検出器 STEM による局所原子振動の直接 観察","分割型検出器 STEM による局所原子振動の直接 観察","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","日本金属学会 2022年秋期講演大会","日本金属学会 2022年秋期講演大会",2022-09-22,null,null,false,jpn,oral_presentation,null,null,"福岡工業大学, 福岡県","福岡工業大学, 福岡県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757600,"分割型検出器を用いた STEM による局所原子振 動観察法の開発","分割型検出器を用いた STEM による局所原子振 動観察法の開発","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","[田畑 浩大, 関 岳人, 幾原 雄一, 柴田 直哉]","日本顕微鏡学会 第78回学術講演会","日本顕微鏡学会 第78回学術講演会",2022-05-12,null,null,false,jpn,oral_presentation,null,null,"ビッグパレットふくしま, 福島県","ビッグパレットふくしま, 福島県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,53757621,"分割型 STEM 検出器を用いた局所原子振動直接観察法の開発",null,"[田畑浩大,関岳人,幾原雄一,柴田直哉]",null,"日本顕微鏡学会 第 64 回シンポジウム",null,2021-11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,53757628,"定量的ADF STEMの基礎とその展望",null,[田畑浩大],null,"第 21 回結晶界面研究会",null,2021-09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
